Key,Summary,Status,Project,Current Size,Planned Size,Num of CPCRs/SWCRs,Fix Version/s,CSL Programs,Priority Score,Feature Type,Level
CSLWCS-43803,SUMMARY REDACTED,Open,CSL_WCS,14,14,,"CSL_R8, CSL_R8_InCapacity",BMD 5.0CU,2650,Team,2
CSLWCS-43831,SUMMARY REDACTED,Open,CSL_WCS,10,10,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLWCS-43844,SUMMARY REDACTED,Open,CSL_WCS,20,20,,"CSL_R8, CSL_R8_OutOfCapacity",CSL_9.1,2650,Team,2
CSLWCS-43668,SUMMARY REDACTED,Open,CSL_WCS,40,40,,"CSL_R8, CSL_R8_InCapacity",Multiple CSL Programs,400,Team,2
CSLSPY-94636,SUMMARY REDACTED,Open,CSL_SPY,58,60,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Product,1
CSLSPY-96158,SUMMARY REDACTED,Open,CSL_SPY,0,0,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLSPY-96581,SUMMARY REDACTED,Open,CSL_SPY,28,28,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLSPY-96721,SUMMARY REDACTED,Open,CSL_SPY,18,18,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLSPY-95761,SUMMARY REDACTED,Open,CSL_SPY,12,12,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLCND-53710,SUMMARY REDACTED,Open,CSL_CND,8,24,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Product,1
CSLCND-54599,SUMMARY REDACTED,Open,CSL_CND,8,8,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLMODSIM-22667,SUMMARY REDACTED,Open,CSL_ModSimAnalysis,10,20,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Product,1
CSLMODSIM-23608,SUMMARY REDACTED,Open,CSL_ModSimAnalysis,10,10,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLADS-55865,SUMMARY REDACTED,Open,CSL_ADS,18,17,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Product,1
CSLADS-56578,SUMMARY REDACTED,Open,CSL_ADS,18,18,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLPBMD-1637,SUMMARY REDACTED,Open,CSLP_BMD51,121.5,0,,CSL_R8,BMD 5.1,2646,,0
CSLSPY-94466,SUMMARY REDACTED,Open,CSL_SPY,2,0,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Product,1
CSLSPY-96204,SUMMARY REDACTED,Open,CSL_SPY,2,2,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Team,2
CSLMP-45524,SUMMARY REDACTED,Open,CSL_MP,3,5,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Product,1
CSLMP-46845,SUMMARY REDACTED,Open,CSL_MP,3,3,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,,Team,2
AFMSCSLSPY-5856,SUMMARY REDACTED,Open,AFMS_CSL_SPY,0,0,0,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,,1
CSLOASIS-15042,SUMMARY REDACTED,Open,CSL_OASIS,2,2,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Product,1
CSLOASIS-15916,SUMMARY REDACTED,Open,CSL_OASIS,2,2,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Team,2
CSLCND-53734,SUMMARY REDACTED,Open,CSL_CND,5,10,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Product,1
CSLCND-54976,SUMMARY REDACTED,Open,CSL_CND,5,5,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Team,2
CSLADS-55570,SUMMARY REDACTED,Open,CSL_ADS,2,2,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Product,1
CSLWCS-43088,SUMMARY REDACTED,Open,CSL_WCS,70,10,,"CSL_R8, CSL_R8_InCapacity",BMD 5.1,2646,Product,1
CSLWCS-43877,SUMMARY REDACTED,Open,CSL_WCS,0,0,,"CSL_R8, CSL_R8_InCapacity",Multiple CSL Programs,140,Team,2
CSLWCS-43666,SUMMARY REDACTED,Open,CSL_WCS,70,70,,"CSL_R8, CSL_R8_InCapacity",Multiple CSL Programs,120,Team,2
